Lionel Messi,FC Barcelona | Liga BBVA,RW,94
Saleh Dowes,Najran | ALJ League,CDM,56
Morgan Fox,Charlton Ath | FL Championship,LB,56
Adam Evans,Bohemians FC | Airtricity League,LM,56
Reise Allassani,Crystal Palace | Barclays PL,LM,56
Héctor Cuevas,Sarmiento | None,ST,56
Pelly Ruddock Mpanzu,Luton Town | Football League 2,CM,56
Semi Ajayi,Cardiff City | FL Championship,CB,56
Álex Serrano,RCD Espanyol | Liga BBVA,CM,56
Daniel Morrissey,Cork City | Airtricity League,ST,56
Hugh Douglas,Bray Wanderers | Airtricity League,CB,56
Byron Lawrence,Colchester | Football League,CM,56
Adi Yussuf,Mansfield Town | Football League 2,ST,56
David Andrade,112679 | LIGA Bancomer MX,RM,56
Ben Tomlinson,Barnet | None,ST,56
Ryan Lloyd,Port Vale | Football League,LM,56
Emmanuel Oyeleke,Exeter City | Football League 2,CM,56
Mehdi Lazaar,Sint-Truiden | None,ST,56
Ian Gayle,Dagenham | Football League 2,CB,56
Kevin Feely,Newport County | Football League 2,CB,56
John Sullivan,Bray Wanderers | Airtricity League,CDM,56
Mads Westlie Gundersen,Mjøndalen IF | None,CM,56
Matt Crooks,Accrington | Football League 2,CB,56
Lyle Della-Verde,Fleetwood Town | Football League,LM,56
Nathan Ralph,Newport County | Football League 2,LM,56
Ryan Watson,Northampton | Football League 2,CM,56
Dean Kelly,Longford Town | None,ST,56
David O&#39;Connor,Shamrock Rovers | Airtricity League,CB,56
Clévid Dikamona,Dagenham | Football League 2,CB,56
Jonathan Levin,112679 | LIGA Bancomer MX,CDM,56
Paul O&#39;Conor,Limerick | Airtricity League,CM,56
Mark Griffin,Bohemians FC | Airtricity League,ST,56
Shaun Jeffers,Yeovil Town | Football League,ST,56
Stewart Murdoch,Ross County | Scottish Prem,CM,56
Ollie Clarke,Bristol Rovers | None,CM,56
Eoin Wearen,Bohemians FC | Airtricity League,CM,56
Tiarnán Mulvenna,Drogheda Utd | Airtricity League,ST,56
Scott Boden,Newport County | Football League 2,ST,56
Paul Sinnott,Galway United | None,CDM,56
Seámus Conneely,Accrington | Football League 2,CM,56
Robbie Creevy,Bohemians FC | Airtricity League,CM,56
Morten Beck Andersen,Hobro IK | Superliga,ST,56
Shane Tracy,Limerick | Airtricity League,LB,56
Mark Rossiter,Longford Town | None,CB,56
Conor Powell,Longford Town | None,LB,56
Patrick Flynn,Longford Town | None,RB,56
Daniele Russo,FC St. Gallen | Raiffeisen SL,CB,56
Alan McNally,Bray Wanderers | Airtricity League,CB,56
Dariusz Zjawiński,Cracovia | Ekstraklasa,ST,56
Liam Kearney,Cork City | Airtricity League,LM,56
Jason Byrne,Bohemians FC | Airtricity League,ST,56
Patrick Sullivan,Longford Town | None,RB,56
Robbie Williams,Limerick | Airtricity League,CB,56
Antony Sweeney,Carlisle United | Football League 2,CM,56
Ian González,Getafe CF | Liga BBVA,ST,55
Ali Hazazi,Al Qadisiyah (Khobar) | None,CM,55
Szymon Przystalski,Śląsk Wrocław | Ekstraklasa,CB,55
Andi Qerfozi,FC St. Gallen | Raiffeisen SL,ST,55
Alberto Tentardini,Como | None,LB,55
Luis García,Wanderers | Camp. Scotiabank,RB,55
Dieudonné Gbaklé,FC Metz | Ligue 1,CAM,55
Aldo Kalulu,Olympique Lyon | Ligue 1,ST,55
Côme Casanova,GFC Ajaccio | Ligue 2,CB,55
Faitout Maouassa,AS Nancy | Ligue 2,CB,55
Joseph Aidoo,Hammarby IF | None,CB,55
Osama Alshabaan,Al Qadisiyah (Khobar) | None,CAM,55
Wade Dekker,Melbourne City | A-League,ST,55
Rafał Makowski,Legia Warszawa | Ekstraklasa,CB,55
Lucas Öhrn,Åtvidabergs FF  | Allsvenskan,CDM,55
Djair Parfitt-Williams,West Ham | Barclays PL,ST,55
Mansour Nammazi,Hajer | ALJ League,CB,55
Arnol Palacios,Atlético Huila | Liga Postobón,RB,55
Eliseo Miranda,CD Huachipato | Camp. Scotiabank,CM,55
Djordje Susnjar,FC Lugano | None,ST,55
Nico Antonitsch,SV Ried | A. Bundesliga,CB,55
Albin Ramadani,SV Ried | A. Bundesliga,LM,55
Jake Orrell,Chesterfield | Football League,CF,55
Oleg Roganov,Krylya Sovetov Samara | None,CDM,55
Emiliano Bogado,Vélez Sarsfield | Primera División,CAM,55
Bright Enobakhare,Wolves | FL Championship,ST,55
Lautaro Arellano,River Plate | Primera División,CM,55
Célestin Djim,FC Metz | Ligue 1,RW,55
Óscar Móvil,Boyacá Chicó | Liga Postobón,ST,55
Fabricio Oscar Alvarenga,Vélez Sarsfield | Primera División,RM,55
Facundo Cervantes,Rafaela | Primera División,CAM,55
Andrea Accardi,Trapani | Serie B,CB,55
Fabián Mena,Patriotas FC | Liga Postobón,LM,55
Horacio Tijanovich,G. La Plata | Primera División,ST,55
Nicolas Schiavi,Novara | None,CM,55
Michael Gash,Barnet | None,ST,55
Tim Skarke,Heidenheim | 2. Bundesliga,RM,55
Sebastian Musiolik,Piast Gliwice | Ekstraklasa,ST,55
Claudio Rivero,Deportivo Pasto | Liga Postobón,CM,55
Julen Etxabeguren,Dundee FC | Scottish Prem,CB,55
Kevin Holt,Dundee FC | Scottish Prem,LB,55
Oliver Abildgaard,Aalborg BK | Superliga,CM,55
Malthe Johansen,Brøndby IF | Superliga,CB,55
Eirik Offenberg,Sandefjord Fotball | None,CB,55
Miguel Mees,KV Mechelen | Pro League,CM,55
Baboye Traoré,Paris FC | None,CDM,55
Dominik Behr,MSV Duisburg | None,CM,55
Ahmet Engin,MSV Duisburg | None,LM,55
Lalchhuanmawia Fanai,NG - FA | Free Agents League,LB,55
Alexandr Scherbakov,FC Ural | Russian League,CAM,55
Müslüm Talşik,Gaziantepspor | Süper Lig,RM,55
Marcin Urynowicz,Górnik Zabrze | Ekstraklasa,ST,55
Maxime Moisy,Bourg en Bresse 01 | None,CDM,55
Chris Parr,Millwall | FL Championship,CB,55
Mirko Esposito,Crotone | Serie B,RB,55
Alexis De Sart,Standard Liège | Pro League,CDM,55
Sergio García,Córdoba CF | Liga BBVA,CAM,55
Stefan Maderer,Greuther Fürth | 2. Bundesliga,ST,55
Qasim Al Awjami,Al-Khaleej | ALJ League,LB,55
Sanz,Real Sociedad | Liga BBVA,CM,55
Vincent Marchetti,AC Ajaccio | Ligue 2,CM,55
Elliott List,Gillingham | Football League,RM,55
Mason Warren,Rotherham Utd | FL Championship,LB,55
Vincent Sierro,FC Sion | Raiffeisen SL,CM,55
Juan Antonio Zúñiga,CD O&#39;Higgins | Camp. Scotiabank,CM,55
Marius Østvold,Stabæk Fotball | Tippeligaen,CM,55
Cornelius Bencsik,Stabæk Fotball | Tippeligaen,RW,55
Daniel Lässer,FC St. Gallen | Raiffeisen SL,RW,55
Exequiel Gómez,Colón | None,ST,55
Khalid Shakhtiev,Terek Grozny | Russian League,CB,55
Lachlan Jackson,Newcastle Jets | A-League,CB,55
Dhanpal Ganesh,NG - FA | Free Agents League,CDM,55
Cavin Lobo,NG - FA | Free Agents League,CM,55
Nahuel,CD Tenerife | Liga Adelante,LB,55
Lee Gyu Seong,Busan I&#39;Park | K LEAGUE,CM,55
Lee Cheong Woong,Busan I&#39;Park | K LEAGUE,CB,55
Stuart Findlay,Kilmarnock | Scottish Prem,CB,55
Michael Maria,VfL Bochum | 2. Bundesliga,CAM,55
William Kurtovic,Sandefjord Fotball | None,CDM,55
Emmanuel Martínez,San Martín de San Juan | None,ST,55
Jodi Jones,Dagenham | Football League 2,ST,55
Lukas Čuljak,Aberdeen | Scottish Prem,CB,55
Tsouka Dozi,Crotone | Serie B,RB,55
Marko Dugandžić,Terni | Serie B,ST,55
Agustín Pascucci,Sarmiento | None,CM,55
Otto Franco,Envigado | Liga Postobón,CDM,55
Sigurd Rosted,Sarpsborg | Tippeligaen,CB,55
Radovan Pavicevic,Newcastle Jets | A-League,ST,55
Martin Payares,Cortuluá | None,CB,55
Gustavo Rojas,Cortuluá | None,RB,55
Vladimir Delgado,Cortuluá | None,CAM,55
Jonathan Caicedo,Once Caldas | Liga Postobón,CAM,55
Paolino Bertaccini,KRC Genk | Pro League,RM,55
Santiago Rosales,Aldosivi | None,ST,55
Romario Williams,Montreal Impact | MLS,ST,55
Michael Jahn,Djurgårdens IF | Allsvenskan,CB,55
Lucas Baldunciel,Nueva Chicago | None,ST,55
Viktor Nilsson,IF Elfsborg | Allsvenskan,CB,55
Roque Vargas,Aldosivi | None,CB,55
Leonardo Fredes,Aldosivi | None,CM,55
Mark da Silva Lindström,Gefle IF | Allsvenskan,CB,55
Pablo,Málaga CF | Liga BBVA,CAM,55
David Syme,Kilmarnock | Scottish Prem,CB,55
Dante Bareyro,Crucero del Norte | None,CB,55
Deco,Málaga CF | Liga BBVA,CM,55
Clavería,Rayo Vallecano | Liga BBVA,CM,55
Brian Torrealba,CD O&#39;Higgins | Camp. Scotiabank,RB,55
Hernán Da Campo,Rosario Ctral.  | Primera División,RM,55
Ryan Sweeney,AFC Wimbledon | Football League 2,CB,55
Tyler Hornby-Forbes,Fleetwood Town | Football League,RB,55
Matias Zaragoza,Boca Juniors | Primera División,LW,55
Brandon Fox,Leicester City | Barclays PL,ST,55
Aaron Splaine,Kilmarnock | Scottish Prem,LM,55
Victor Mansaray,Sounders FC | MLS,ST,55
Mike Phenix,Barnsley | Football League,ST,55
David O&#39;Sullivan,Longford Town | None,ST,55
Matthias Bader,Karlsruher SC | 2. Bundesliga,RB,55
Karlan Ahearne-Grant,Charlton Ath | FL Championship,ST,55
Maurice Litka,FC St. Pauli | 2. Bundesliga,LM,55
Christopher Mannella,Toronto FC | MLS,LB,55
Denis Mashkin,FC Rostov | Russian League,CDM,55
Cristián Collao,Unión La Calera | Camp. Scotiabank,CB,55
Iván Sandoval,CD Cobresal | Camp. Scotiabank,ST,55
Nicolás Canavessio,Rafaela | Primera División,CB,55
Guido D&#39;Attilio,Avellino | Serie B,CM,55
Junaid Sait,Falkenbergs FF | Allsvenskan,CB,55
Sergey Makarov,Lokomotiv | Russian League,CDM,55
Ben Harrison,AFC Wimbledon | Football League 2,LB,55
Jonathan Edwards,Peterborough | Football League,ST,55
Gennaro Acampora,La Spezia | Serie B,CM,55
Anthony Kalik,Central Coast | A-League,CAM,55
Liam Rose,Central Coast | A-League,CDM,55
Alberto Pardo,Uniautónoma FC | Liga Postobón,CDM,55
Daniel Crowley,Barnsley | Football League,CM,55
Moustapha Beye,Novara | None,CB,55
Cristian Riggio,Crotone | Serie B,CB,55
Bobson Bawling,Crawley Town | Football League,CAM,55
Mattia Bani,Vercelli | Serie B,CB,55
Andy Cannon,Rochdale | Football League,RB,55
Muhammed Kayaroglu,Greuther Fürth | 2. Bundesliga,CF,55
Mario Esposito,Lanciano | Serie B,CB,55
Simone Fioretti,Lanciano | Serie B,ST,55
Daniele Altobelli,Frosinone | Serie B,CDM,55
David Lundgren,Åtvidabergs FF  | Allsvenskan,CM,55
Maciej Pałaszewski,Śląsk Wrocław | Ekstraklasa,CM,55
Tomasz Mokwa,Piast Gliwice | Ekstraklasa,RB,55
Joe Wilkinson,Huddersfield | FL Championship,CB,55
Michael McSweeney,Cork City | Airtricity League,RB,55
Leandro Martorano,Bahía Blanca | Primera División,CM,55
Facundo Tévez,Banfield | Primera División,CB,55
Robert Bartczak,Legia Warszawa | Ekstraklasa,RM,55
Max Clark,Hull City | Barclays PL,LB,55
Pascal Thrier,FC St. Gallen | Raiffeisen SL,RB,55
Stefan Umjenović,SCR Altach | A. Bundesliga,CB,55
Svenn Crone,Brøndby IF | Superliga,RB,55
Philip Lowry,Derry City | Airtricity League,CM,55
Sebastian Ernst,Hannover 96 | Bundesliga,CM,55
Niklas Teichgräber,Hannover 96 | Bundesliga,LB,55
Mehmet Taş,Mersin | Süper Lig,CDM,55
Sbbah AlEnezi,Al-Faisaly | ALJ League,CDM,55
Hussein Al Shaikh,Al-Khaleej | ALJ League,CM,55
Michał Wrześniewski,Korona Kielce | Ekstraklasa,RB,55
Diego Yacob,Fl. Varela | Primera División,CM,55
Akim Zedadka,RC Lens | Ligue 1,RB,55
Mitch Austin,Central Coast | A-League,LW,55
Jack Cowgill,Barnsley | Football League,CB,55
James Baillie,Crewe Alexandra | Football League,RWB,55
Gustavo Castillo,Toluca | LIGA Bancomer MX,RM,55
Denis Yakuba,Kuban Krasnodar | Russian League,LB,55
Luis Chávez,Tijuana | LIGA Bancomer MX,LM,55
Prince Agyemang,Limerick | Airtricity League,CM,55
Dzikamai Gwaze,Górnik Zabrze | Ekstraklasa,CM,55
Fidan Aliti,FC Luzern | Raiffeisen SL,CB,55
Pierluigi Cappelluzzo,Pescara | Serie B,ST,55
Amaury Torralvo,La Equidad | Liga Postobón,LB,55
Rhys Turner,Oldham Athletic | Football League,ST,55
Dominic Thomas,Motherwell | Scottish Prem,CM,55
Yairo Moreno,La Equidad | Liga Postobón,CAM,55
Anthony Dudley,Bury | Football League 2,ST,55
José Luis Sierra,Unión Española | Camp. Scotiabank,ST,55
Jalen Robinson,D.C. United | MLS,CB,55
Eoghan O&#39;Connell,Celtic | Scottish Prem,CB,55
Dominic Hyam,Reading | FL Championship,CB,55
Jhon Fredy Miranda,Ind. Santa Fe | Liga Postobón,ST,55
Zlatan Krizanović,Falkenbergs FF | Allsvenskan,ST,55
Miłosz Trojak,Ruch Chorzów | Ekstraklasa,CM,55
Antonio Romano,Napoli | Serie A,CM,55
Luca Palmiero,Napoli | Serie A,CM,55
Vahid Hambo,Brighton | FL Championship,ST,55
Ammar Al Dohim,Hajer | ALJ League,CB,55
Hardy Binguila,AJ Auxerre | Ligue 2,CM,55
Jack Curtis,Colchester | Football League,LM,55
Mattia Aramu,Livorno | Serie B,CM,55
Jacob Barrett Laursen,Odense Boldklub | Superliga,LB,55
Daniel Byrne,Bohemians FC | Airtricity League,CB,55
Jami Rafati,Livorno | Serie B,CM,55
Ollie Palmer,Leyton Orient | Football League,ST,55
Jason Hughes,Sligo Rovers | Airtricity League,CM,55
Josh Windass,Accrington | Football League 2,CAM,55
Mauricio Gómez,Patriotas FC | Liga Postobón,CB,55
Patrick Dytko,Piast Gliwice | Ekstraklasa,RM,55
Ignacio Jáuregui,G. La Plata | Primera División,LM,55
Collin Martin,D.C. United | MLS,CAM,55
Kealan Dillon,Bohemians FC | Airtricity League,CM,55
Niall Cooney,Bray Wanderers | Airtricity League,CB,55
Salvador Tafolla,Veracruz | LIGA Bancomer MX,ST,55
Leonard Koch,Union Berlin | 2. Bundesliga,CDM,55
Alex Kenyon,Morecambe | Football League 2,CM,55
Luca Ricciardi,Latina | Serie B,LM,55
Antonino Daí,Trapani | Serie B,RB,55
Liam Marsden,Mansfield Town | Football League 2,RB,55
Gilli Sørensen,Aalborg BK | Superliga,LB,55
Dmitriy Yashin,Terek Grozny | Russian League,CB,55
Cameron Kerr,Dundee FC | Scottish Prem,RB,55
Alie Sesay,Leicester City | Barclays PL,CB,55
Álvaro Delgado,Depor. Iquique | Camp. Scotiabank,CM,55
Emmanuel Dieseruvwe,Chesterfield | Football League,ST,55
Paul Mullin,Morecambe | Football League 2,ST,55
Erik Olsson,Gefle IF | Allsvenskan,CM,55
John Hernández,Águilas Doradas | Liga Postobón,CAM,55
Ricardo Delgado,Jaguares de Córdoba | None,CAM,55
Stiven Pretel,Cortuluá | None,CM,55
Davide Biraschi,Avellino | Serie B,CDM,55
Oscar Suárez,Club León | LIGA Bancomer MX,LB,55
Herbert Robinson,Santos Laguna | LIGA Bancomer MX,CAM,55
Tom Beere,AFC Wimbledon | Football League 2,CM,55
Alex Kiwomya,Chelsea | Barclays PL,RM,55
Ambrose Gnahore,SD Huesca | None,LB,55
Alex Iwobi,Arsenal | Barclays PL,CF,55
Josh Barresi,Newcastle Jets | A-League,CAM,55
Jack Batten,Bristol City | Football League,CB,55
Robert Cornwall,Derry City | Airtricity League,RB,55
Marcus Johansson,Halmstads BK | Allsvenskan,CB,55
Salem Al Khaibary,Al-Faisaly | ALJ League,ST,55
Rhys Oates,Hartlepool | Football League 2,ST,55
Nouh Al Mousa,Al-Fateh | ALJ League,CM,55
Christer Lipovac,Örebro SK | Allsvenskan,ST,55
Mateusz Janeczko,Podbeskidzie | Ekstraklasa,ST,55
Bartosz Kwiecień,Korona Kielce | Ekstraklasa,CDM,55
Michael Rose,Aberdeen | Scottish Prem,CB,55
Mateusz Kwiatkowski,Ruch Chorzów | Ekstraklasa,ST,55
Filippo Berra,Vercelli | Serie B,RB,55
Michael Freiter,Gillingham | Football League,CM,55
Jaime Gómez,Querétaro | LIGA Bancomer MX,RM,55
Muaiad Admawi,Al Wehda (Mecca) | None,ST,55
Abdullah Al Dossari,Al-Fateh | ALJ League,LB,55
Mubarak Al Sultan,Al-Fateh | ALJ League,LM,55
Sultan Al Dossari,Al-Faisaly | ALJ League,CDM,55
Nikolay Zaytsev,Amkar Perm | Russian League,CDM,55
Mads Pedersen,Sandefjord Fotball | None,CM,55
Coen Gortemaker,Heracles Almelo | Eredivisie,CB,55
Mohammed Majrashi,Al-Taawoun | ALJ League,ST,55
Kieran Sadlier,Peterborough | Football League,CAM,55
Chris Doyle,Morecambe | Football League 2,CB,55
Mohammad Al Safri,Al-Faisaly | ALJ League,CM,55
Joachim Osvold,Lillestrøm SK | Tippeligaen,ST,55
Jehad Al Zoaed,Al-Faisaly | ALJ League,ST,55
Jafar Al Khalifa,Hajer | ALJ League,CB,55
Thamer Almeshauqeh,Al-Khaleej | ALJ League,ST,55
Fahad Al Munaif,Al-Faisaly | ALJ League,ST,55
Luke Gambin,Barnet | None,LM,55
Jamie Burrows,Yeovil Town | Football League,ST,55
Karanveer Grewal,Mjøndalen IF | None,RB,55
Adebayo Azeez,AFC Wimbledon | Football League 2,ST,55
Gary Shanahan,Galway United | None,RM,55
Jimmy McLaughlin,Philadelphia | MLS,CM,55
Marcus Carver,Accrington | Football League 2,ST,55
Ian Turner,Limerick | Airtricity League,RM,55
Dean Clarke,Limerick | Airtricity League,ST,55
Isaac Hayden,Hull City | Barclays PL,CDM,55
Liam Wakefield,Accrington | Football League 2,RB,55
Riccardo Regno,Livorno | Serie B,CB,55
Adam Buxton,Accrington | Football League 2,LB,55
Tom Nichols,Exeter City | Football League 2,ST,55
Aaron Amadi-Holloway,Wycombe | Football League 2,ST,55
Ivan Knyazev,FC Ural | Russian League,CB,55
Josh Rees,Nott&#39;m Forest | FL Championship,CM,55
Keith Buckley,Bohemians FC | Airtricity League,CM,55
Enda Curran,Galway United | None,ST,55
Shane Grimes,Dundalk | Airtricity League,LB,55
Seán Brennan,Drogheda Utd | Airtricity League,LM,55
Alan Byrne,Drogheda Utd | Airtricity League,CB,55
Gary Shaw,Longford Town | None,ST,55
Apti Akhyadov,Terek Grozny | Russian League,CF,55
Stephen Walsh,Galway United | None,CB,55
Adam Mitchell,Bray Wanderers | Airtricity League,CB,55
Joaquim Adão,FC Sion | Raiffeisen SL,CDM,55
Daniel Corcoran,Sligo Rovers | Airtricity League,ST,55
Sverre Martin Torp,Sandefjord Fotball | None,CDM,55
Don Cowan,Longford Town | None,ST,55
Shane McEleney,St. Pats | Airtricity League,CB,55
Ryan McEvoy,Bray Wanderers | Airtricity League,CM,55
Eric Larsson,GIF Sundsvall | None,LB,55
Shaun Kelly,Limerick | Airtricity League,RB,55
Fraser Franks,Stevenage | Football League 2,CB,55
Mark Salmon,Longford Town | None,RM,55
Filipe,Perugia | Serie B,CDM,55
Omar Mendoza,Cruz Azul | LIGA Bancomer MX,LB,55
Karl Moore,Bohemians FC | Airtricity League,LM,55
Michael Daly,Drogheda Utd | Airtricity League,RB,55
Robert Bayly,Drogheda Utd | Airtricity League,CM,55
Stephen Maher,Drogheda Utd | Airtricity League,CM,55
Lee Molyneux,Morecambe | Football League 2,LM,55
Grzegorz Piesio,Górnik Łęczna | Ekstraklasa,RM,55
Alan Goodall,Morecambe | Football League 2,CDM,55
Simon Walton,Crawley Town | Football League,CM,55
Andy Procter,Accrington | Football League 2,CDM,55
David Mulcahy,Bohemians FC | Airtricity League,CDM,55
Valentin Voisin,SM Caen | Ligue 1,CDM,54
Regan Charles-Cook,Charlton Ath | FL Championship,LM,54
Andreas Hellum,Mjøndalen IF | None,ST,54
Piotr Kurbiel,Lech Poznań | Ekstraklasa,ST,54
Tinotenda Kadewere,Djurgårdens IF | Allsvenskan,ST,54
Aldin Turkes,FC Zürich | Raiffeisen SL,ST,54
Jean-Victor Makengo,SM Caen | Ligue 1,CM,54
William Sheriff,AIK Fotboll | Allsvenskan,LM,54
Diego Gutiérrez,CD Palestino | Camp. Scotiabank,LM,54
Sivert Solli,Rosenborg BK | Tippeligaen,CAM,54
Łukasz Siedlik,Ruch Chorzów | Ekstraklasa,ST,54
Harry Ascroft,Central Coast | A-League,CB,54
Dave Romney,LA Galaxy | MLS,LB,54
Víctor Zúñiga,Cruz Azul | LIGA Bancomer MX,ST,54
Juan Pablo Fassi,Puebla | LIGA Bancomer MX,CM,54
Gaoussou Sackho,US Créteil | Ligue 2,ST,54
Martin Rasner,SV Grödig | A. Bundesliga,CM,54
Fabian Schubert,SV Ried | A. Bundesliga,ST,54
Igor Konovalov,Kuban Krasnodar | Russian League,CDM,54
Piotr Rogala,Korona Kielce | Ekstraklasa,CB,54
Nicolás Benedetti,Deportivo Cali | Liga Postobón,CM,54
Fumnaya Shomotun,Barnet | None,CAM,54
Mateusz Długołęcki,Piast Gliwice | Ekstraklasa,CB,54
Cristian Dajome,Cúcuta Deportivo | None,ST,54
Jefferson Verdecia,Boyacá Chicó | Liga Postobón,CB,54
Lawson Sabah,IFK Göteborg | Allsvenskan,CM,54
Gramoz Kurtaj,Hamilton | Scottish Prem,CAM,54
Frederik Lauenborg,Randers FC | Superliga,CAM,54
Dukagjin Karanezi,SV Mattersburg | None,LB,54
Nikola Milosavljevic,FC Lugano | None,CM,54
Domagoj Pusic,FC Lugano | None,CDM,54
Jordan Renson,Sint-Truiden | None,CB,54
Philipp Hercher,1. FC Nuremberg | 2. Bundesliga,LM,54
Cezary Demianiuk,Piast Gliwice | Ekstraklasa,ST,54
Jacob Hanson,Huddersfield | FL Championship,RB,54
Rekeil Pyke,Huddersfield | FL Championship,ST,54
Roman Zengin,VfL Bochum | 2. Bundesliga,RW,54
Kristian Larsen,Brøndby IF | Superliga,LB,54
Dhanachandra Singh,NG - FA | Free Agents League,LB,54
CK Vineeth,NG - FA | Free Agents League,LM,54
Charlie Goode,Scunthorpe Utd | Football League,CB,54
Isaac Assenso,Scunthorpe Utd | Football League,CB,54
Emre Erciyas,Waasl.-Beveren | Pro League,CAM,54
Rasmus Rosenqvist,IF Elfsborg | Allsvenskan,CM,54
Mehdi Kadi,Bourg en Bresse 01 | None,ST,54
João De Oliveira,FC Luzern | Raiffeisen SL,LM,54
Ivan Markovic,FC Thun | Raiffeisen SL,LM,54
Morten Rokkedal,Aalborg BK | Superliga,CB,54
Matías Ezequiel Vargas,Vélez Sarsfield | Primera División,CM,54
Agustín Doffo,Vélez Sarsfield | Primera División,CM,54
Marc Caballé,RCD Espanyol | Liga BBVA,CM,54
Muteb Al Najrani,Al Qadisiyah (Khobar) | None,RW,54
Juan Mosquera,Envigado | Liga Postobón,CM,54
Berat Beciri,FC København | Superliga,LW,54
Raimundo Rebolledo,Uni. Católica | Camp. Scotiabank,RB,54
Erlend Segberg,Start | Tippeligaen,CM,54
Zachary Herivaux,New England | MLS,CM,54
Ferland Mendy,Le Havre AC | Ligue 2,LB,54
An Su Hyeon,Jeonnam Dragons | K LEAGUE,ST,54
Fabio Sakaj,Modena | Serie B,RW,54
Shayne D&#39;Cunha,WS Wanderers | A-League,RB,54
Aaron Hayden,Newport County | Football League 2,CB,54
Argenis Alba,Cúcuta Deportivo | None,RB,54
Venji Castrillon,Envigado | Liga Postobón,CAM,54
Brayden Shaw,Bury | Football League 2,LW,54
Joan Castro,Uniautónoma FC | Liga Postobón,RB,54
Kwon Young Ho,GwangJu FC | None,CDM,54
Paudie O&#39;Connor,Limerick | Airtricity League,CB,54
Gareth McCaffrey,Shamrock Rovers | Airtricity League,ST,54
Yoon Soo Yong,Djurgårdens IF | Allsvenskan,CM,54
Jang Yun Ho,Jeonbuk FC | K LEAGUE,CAM,54
Fiacre Kelleher,Celtic | Scottish Prem,CB,54
Kim Seong Hyeon,GwangJu FC | None,ST,54
Pedro López,CD Lugo | Liga Adelante,CB,54
Almir Soto,Ind. Santa Fe | Liga Postobón,CDM,54
Roberto Criscuolo,Latina | Serie B,CM,54
Bright Osavi-Samuel,Blackpool | FL Championship,LW,54
Besard Sabovic,Djurgårdens IF | Allsvenskan,CM,54
Henrik Castegren,IFK Norrköping | Allsvenskan,CB,54
Martin Strange,Mjøndalen IF | None,RB,54
Kalvin Orsi,Aberdeen | Scottish Prem,LM,54
Adam Andersson,BK Häcken | Allsvenskan,CM,54
Oliver Muldoon,Charlton Ath | FL Championship,LM,54
Juan Ignacio López,Sarmiento | None,RM,54
Diego Moreno,Envigado | Liga Postobón,CAM,54
Fahad Al Muneef,Al-Faisaly | ALJ League,ST,54
Gustav Berggren,BK Häcken | Allsvenskan,CM,54
Corentin Koçur,Royal Mouscron | Pro League,LM,54
Carlos Rodas,Cortuluá | None,ST,54
Juan Campo,Cortuluá | None,CDM,54
Boyd Okwuonu,Real Salt Lake | MLS,CB,54
Daniel Franco,San Martín de San Juan | None,CB,54
Mario Díaz,Monarcas | LIGA Bancomer MX,RM,54
Philtzgerald M&#39;Baka,Getafe CF | Liga BBVA,CM,54
Norberto Palmieri,Nueva Chicago | None,CM,54
Darwin Jones,Sounders FC | MLS,ST,54
Arjan Mostafa,IF Elfsborg | Allsvenskan,ST,54
Christoffer Aspgren,Gefle IF | Allsvenskan,RM,54
Jack McMillan,Motherwell | Scottish Prem,CB,54
Lucas Caballero,Crucero del Norte | None,CM,54
Lee Cameron,Dundee FC | Scottish Prem,ST,54
Sam Lidington,Kilmarnock | Scottish Prem,LB,54
Adam Hodge,Kilmarnock | Scottish Prem,CB,54
Juan Cabrera,Crucero del Norte | None,RB,54
Liam Mandeville,Doncaster | Football League,ST,54
Ross MacLean,Motherwell | Scottish Prem,RM,54
Shannon Brady,Brisbane Roar | A-League,RW,54
Ángel González,Godoy Cruz | Primera División,RM,54
Rudinilson Silva,Lechia Gdańsk | Ekstraklasa,CB,54
James Mulhall,Longford Town | None,RB,54
Rhys Gorman,Longford Town | None,CB,54
Mattia Proietti,Perugia | Serie B,CB,54
Nicolò Pozzebon,Perugia | Serie B,ST,54
Stefan O&#39;Connor,Arsenal | Barclays PL,CB,54
George Blackwood,Sydney FC | A-League,ST,54
Terell Thomas,Charlton Ath | FL Championship,CDM,54
Nicola Citro,Trapani | Serie B,CF,54
Ben Kennedy,Stevenage | Football League 2,ST,54
Regan Poole,Newport County | Football League 2,CB,54
Sverre Bjørkkjær,FK Haugesund | Tippeligaen,LB,54
Tom Beadling,Sunderland | Barclays PL,CB,54
Emmanuel Sonupe,Spurs | Barclays PL,RM,54
Maxime Do Couto Teixeira,Tours FC | Ligue 2,ST,54
Ben Thompson,Millwall | FL Championship,CM,54
Keaton Wood,Millwall | FL Championship,CB,54
Yusuf Çataloluk,Akhisarspor | Süper Lig,CM,54
Nicolás Fernández,Fl. Varela | Primera División,ST,54
Marc Marino,Melbourne City | A-League,ST,54
Christian Doidge,Dagenham | Football League 2,ST,54
Scott Wright,Aberdeen | Scottish Prem,RM,54
Michael Onovwigun,Chesterfield | Football League,CDM,54
Jeppe Simonsen,SønderjyskE | Superliga,ST,54
Mauricio Flores,CD Cobresal | Camp. Scotiabank,ST,54
Nilson Castrillón,Deportivo Cali | Liga Postobón,RB,54
Mateo Cardona,Envigado | Liga Postobón,CAM,54
